Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
36,1.0,0.0,0.0,847.0,16.0,31.0,1860.0,0.1,16.705000000000016,0.0,0.0,348.7137358188629,,,,,,,,,,,,,,,,,,,,,5.458679673559533,5.769841157462049,16.56890216554859,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,887.0,17.0,40.0,1900.0,0.1,24.606000000000016,0.0,0.0,352.8611912727356,,,,,,,,,,,,,,,,,,,,,8.836834511943366,8.348295510889551,24.30110452747269,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,931.0,18.0,44.0,1944.0,0.1,16.71000000000002,0.0,0.0,357.39494824409485,,,,,,,,,,,,,,,,,,,,,4.355080230180566,5.2490874977665625,16.551462844097408,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,978.0,19.0,47.0,1991.0,0.1,27.605000000000015,0.0,0.0,362.46862030029297,,,,,,,,,,,,,,,,,,,,,10.44969773281209,8.782395786493787,27.16817338515475,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,998.0,20.0,20.0,2011.0,0.1,7.005,0.0,0.0,364.6267945766449,,,,,,,,,,,,,,,,,,,,,2.0228777512724987,2.399710245622375,6.978492451384867,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,61.0,1.0,61.0,2072.0,0.1,32.706999999999994,0.0,0.0,532.2132866382599,,,,,,,,,,,,,,,,,,,,,11.214689443568814,10.084042822771929,32.08704594879395,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,167.0,2.0,106.0,2178.0,0.1,60.20699999999999,0.0,0.0,542.7449316978455,,,,,,,,,,,,,,,,,,,,,28.02426980102072,18.76085435270049,57.351072194408424,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,290.0,3.0,123.0,2301.0,0.1,81.20599999999996,0.0,0.0,555.0035500526428,,,,,,,,,,,,,,,,,,,,,35.00770444150715,25.07269781939434,77.05408346654418,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,337.0,4.0,47.0,2348.0,0.1,15.111999999999988,0.0,0.0,560.0068182945251,,,,,,,,,,,,,,,,,,,,,3.505179317612727,4.563923243249515,14.977195986849917,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,414.0,5.0,77.0,2425.0,0.1,61.705,0.0,0.0,568.0729517936707,,,,,,,,,,,,,,,,,,,,,25.50858533331273,19.779611806748274,59.860500068972804,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
